member_no,date,amount,source,reference,description
ILS24-F00023,2025-01-26,150000,mkoba,SHR-ILS24-F00023-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00012,2024-03-19,200000,mkoba,SHR-ILS24-F00012-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00012,2024-03-31,130000,mkoba,SHR-ILS24-F00012-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00012,2024-08-21,300000,mkoba,SHR-ILS24-F00012-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00012,2024-12-09,200000,mkoba,SHR-ILS24-F00012-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00012,2025-01-02,250000,mkoba,SHR-ILS24-F00012-0005,Historical share capital (Ilboru DETAILS)
ILS24-F00047,2024-03-18,63000,mkoba,SHR-ILS24-F00047-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00047,2024-04-10,50000,mkoba,SHR-ILS24-F00047-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00047,2024-12-09,100000,mkoba,SHR-ILS24-F00047-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00047,2024-12-27,300000,mkoba,SHR-ILS24-F00047-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00020,2024-03-19,90000,mkoba,SHR-ILS24-F00020-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00020,2024-08-23,660000,mkoba,SHR-ILS24-F00020-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00020,2024-12-29,200000,mkoba,SHR-ILS24-F00020-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00002,2024-03-19,530000,mkoba,SHR-ILS24-F00002-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00002,2024-08-19,40000,mkoba,SHR-ILS24-F00002-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2024-03-19,50000,mkoba,SHR-ILS24-F00048-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2024-04-04,100000,mkoba,SHR-ILS24-F00048-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2024-12-15,150000,mkoba,SHR-ILS24-F00048-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2024-12-23,100000,mkoba,SHR-ILS24-F00048-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2025-01-01,50000,mkoba,SHR-ILS24-F00048-0005,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2025-01-04,200000,mkoba,SHR-ILS24-F00048-0006,Historical share capital (Ilboru DETAILS)
ILS24-F00048,2025-02-20,300000,mkoba,SHR-ILS24-F00048-0007,Historical share capital (Ilboru DETAILS)
ILS24-F00039,2024-03-21,100000,mkoba,SHR-ILS24-F00039-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00039,2025-01-04,820000,mkoba,SHR-ILS24-F00039-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00019,2024-03-23,170000,mkoba,SHR-ILS24-F00019-0001,Historical share capital (Ilboru DETAILS)
