member_no,date,amount,source,reference,description
ILS24-F00016,2026-05-05,115285,utt,DIV-ILS24-F00016-08,DIV. 7 UTT 5th May 26
ILS24-F00017,2024-12-31,26759,utt,DIV-ILS24-F00017-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00017,2025-11-25,30121,utt,DIV-ILS24-F00017-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00017,2025-12-15,45941,loan,DIV-ILS24-F00017-03,DIVIDENT 3 (Loan 1)
ILS24-F00017,2026-01-24,46939,utt,DIV-ILS24-F00017-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00017,2026-02-28,112045,loan,DIV-ILS24-F00017-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00017,2026-04-15,32059,utt,DIV-ILS24-F00017-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00017,2026-04-26,5099,loan,DIV-ILS24-F00017-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00017,2026-05-05,13119,utt,DIV-ILS24-F00017-08,DIV. 7 UTT 5th May 26
ILS24-F00018,2024-12-31,14866,utt,DIV-ILS24-F00018-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00018,2025-11-25,19644,utt,DIV-ILS24-F00018-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00018,2025-12-15,29961,loan,DIV-ILS24-F00018-03,DIVIDENT 3 (Loan 1)
ILS24-F00018,2026-01-24,41249,utt,DIV-ILS24-F00018-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00018,2026-02-28,108650,loan,DIV-ILS24-F00018-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00018,2026-04-15,31087,utt,DIV-ILS24-F00018-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00018,2026-04-26,9511,loan,DIV-ILS24-F00018-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00018,2026-05-05,24468,utt,DIV-ILS24-F00018-08,DIV. 7 UTT 5th May 26
ILS24-F00019,2024-12-31,22299,utt,DIV-ILS24-F00019-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00019,2025-11-25,32741,utt,DIV-ILS24-F00019-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00019,2025-12-15,49936,loan,DIV-ILS24-F00019-03,DIVIDENT 3 (Loan 1)
ILS24-F00019,2026-01-24,41249,utt,DIV-ILS24-F00019-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00019,2026-02-28,105255,loan,DIV-ILS24-F00019-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00019,2026-04-15,34002,utt,DIV-ILS24-F00019-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00019,2026-04-26,6954,loan,DIV-ILS24-F00019-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00019,2026-05-05,17889,utt,DIV-ILS24-F00019-08,DIV. 7 UTT 5th May 26
ILS24-F00020,2024-12-31,28245,utt,DIV-ILS24-F00020-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00020,2025-11-25,27502,utt,DIV-ILS24-F00020-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00020,2025-12-15,41946,loan,DIV-ILS24-F00020-03,DIVIDENT 3 (Loan 1)
ILS24-F00020,2026-01-24,36982,utt,DIV-ILS24-F00020-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00020,2026-02-28,88278,loan,DIV-ILS24-F00020-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00020,2026-04-15,56346,utt,DIV-ILS24-F00020-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00020,2026-04-26,13476,loan,DIV-ILS24-F00020-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00020,2026-05-05,34668,utt,DIV-ILS24-F00020-08,DIV. 7 UTT 5th May 26
ILS24-F00021,2024-12-31,28245,utt,DIV-ILS24-F00021-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00021,2025-11-25,32741,utt,DIV-ILS24-F00021-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00021,2025-12-15,49936,loan,DIV-ILS24-F00021-03,DIVIDENT 3 (Loan 1)
ILS24-F00021,2026-01-24,52628,utt,DIV-ILS24-F00021-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00021,2026-02-28,125626,loan,DIV-ILS24-F00021-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00021,2026-04-15,35945,utt,DIV-ILS24-F00021-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00021,2026-04-26,10353,loan,DIV-ILS24-F00021-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00021,2026-05-05,26635,utt,DIV-ILS24-F00021-08,DIV. 7 UTT 5th May 26
ILS24-F00022,2024-12-31,22299,utt,DIV-ILS24-F00022-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00022,2025-11-25,19644,utt,DIV-ILS24-F00022-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00022,2025-12-15,29961,loan,DIV-ILS24-F00022-03,DIVIDENT 3 (Loan 1)
ILS24-F00022,2026-01-24,66852,utt,DIV-ILS24-F00022-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00022,2026-02-28,159580,loan,DIV-ILS24-F00022-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00022,2026-04-15,45660,utt,DIV-ILS24-F00022-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00022,2026-04-26,7263,loan,DIV-ILS24-F00022-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00022,2026-05-05,18684,utt,DIV-ILS24-F00022-08,DIV. 7 UTT 5th May 26
ILS24-F00023,2024-12-31,31218,utt,DIV-ILS24-F00023-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00023,2025-11-25,34050,utt,DIV-ILS24-F00023-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00023,2025-12-15,51933,loan,DIV-ILS24-F00023-03,DIVIDENT 3 (Loan 1)
ILS24-F00023,2026-01-24,51206,utt,DIV-ILS24-F00023-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00023,2026-02-28,224090,loan,DIV-ILS24-F00023-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00023,2026-04-15,83547,utt,DIV-ILS24-F00023-06,DIVIDENT 6 UTT (15 Apr 26)
